CONCISE NET LIST - 1  
CLK1                     TP1              1        TP_HOLE-0.8MM   
CLK1                     U1               2        PRTR5V0U8S_TSSOP-NXP-GND=GND_SA
CLK1*                    J1               1        MHDMI-19-02-H-TH-L-TR-GND=GND_A
CLK1*                    J4               H26      ASP-134606-01   
CLK1*                    TP2              1        TP_HOLE-0.8MM   
CLK1*                    U1               1        PRTR5V0U8S_TSSOP-NXP-GND=GND_SA
CLK2                     J2               3        MHDMI-19-02-H-TH-L-TR-GND=GND_B
CLK2                     J4               H10      ASP-134606-01   
CLK2                     U3               2        PRTR5V0U8S_TSSOP-NXP-GND=GND_SA
CLK2*                    J2               1        MHDMI-19-02-H-TH-L-TR-GND=GND_B
CLK2*                    J4               H11      ASP-134606-01   
CLK2*                    U3               1        PRTR5V0U8S_TSSOP-NXP-GND=GND_SA
CONT0                    J3               5        CON8P-MOLEX_44661-1011-GND=FRAA
CONT0                    J4               G36      ASP-134606-01   
CONT0                    U2               7        PRTR5V0U8S_TSSOP-NXP-GND=GND_SA
CONT0*                   J3               4        CON8P-MOLEX_44661-1011-GND=FRAA
CONT0*                   J4               G37      ASP-134606-01   
CONT0*                   U2               6        PRTR5V0U8S_TSSOP-NXP-GND=GND_SA
CONT1                    J1               4        MHDMI-19-02-H-TH-L-TR-GND=GND_A
CONT1                    J4               H28      ASP-134606-01   
CONT1                    TP9              1        TP_HOLE-0.8MM   
CONT1                    U1               4        PRTR5V0U8S_TSSOP-NXP-GND=GND_SA
CONT1*                   J1               6        MHDMI-19-02-H-TH-L-TR-GND=GND_A
CONT1*                   J4               H29      ASP-134606-01   
CONT1*                   TP10             1        TP_HOLE-0.8MM   
CONT1*                   U1               5        PRTR5V0U8S_TSSOP-NXP-GND=GND_SA
CONT2                    J2               4        MHDMI-19-02-H-TH-L-TR-GND=GND_B
CONT2                    J4               G12      ASP-134606-01   
CONT2                    U3               4        PRTR5V0U8S_TSSOP-NXP-GND=GND_SA
CONT2*                   J2               6        MHDMI-19-02-H-TH-L-TR-GND=GND_B
CONT2*                   J4               G13      ASP-134606-01   
